mode,case,base_median_ns,wide_median_ns,median_paired_ratio,paired_ratio_min,paired_ratio_max
-joff,tab_store_existing,670.16,669.26,0.9986896962477665,0.9800463899131676,1.0084380556308954
-joff,tab_insert_newkey,986.25,1049.0,1.063006072874494,1.0610745058286872,1.0718638902996445
-joff,closures_upval,1566.95,1581.42,1.010866363578152,1.0086280616217183,1.0158413443149654
-jon,tab_store_existing,2.06,2.06,1.0,0.995169082125604,1.0048543689320388
-jon,tab_insert_newkey,102.5,105.25,1.0245700245700247,1.0121359223300972,1.0464547677261613
-jon,closures_upval,1572.85,1591.28,1.0112438912645083,1.0096777468936018,1.01510212397494
