# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 999  of event 'cpu_atom/cycles/u'
# Event count (approx.): 21344297891
#
# Children      Self  Command  Shared Object     Symbol
# ........  ........  .......  ................  ................................................
#
     0.30%     0.20%  luajit   luajit            [.] lj_gc2_mem_registered_known
     0.30%     0.10%  luajit   luajit            [.] gc2_size_fits_mem.part.0
     0.30%     0.20%  luajit   luajit            [.] lj_arena_free_deferred
     0.30%     0.10%  luajit   luajit            [.] lj_gc2_activation_reclaim_veto
     0.30%     0.00%  luajit   luajit            [.] lj_gc2_sweep_live_aggregate.part.0
     0.30%     0.30%  luajit   luajit            [.] gc2_mark_table_child_tv_worker
     0.30%     0.10%  luajit   luajit            [.] arena_adopt_reclaimed_one
     0.20%     0.20%  luajit   luajit            [.] gc2_ssb_published_empty
     0.20%     0.20%  luajit   luajit            [.] gc2_valid_proto_for_traverse_held
     0.20%     0.20%  luajit   luajit            [.] gc2_activation_matches_legacy
     0.20%     0.00%  luajit   luajit            [.] lj_func_freeuv
     0.20%     0.20%  luajit   luajit            [.] arena_clear_marks_list
     0.20%     0.00%  luajit   luajit            [.] lj_arena_alloc_clear_marks
     0.20%     0.20%  luajit   luajit            [.] lj_arena_hugetab_live_bytes
     0.20%     0.20%  luajit   luajit            [.] arena_set_free_run
     0.20%     0.20%  luajit   luajit            [.] lj_arena_hugetab_prepare_sweep
     0.20%     0.20%  luajit   luajit            [.] lj_BC_JLOOP
     0.10%     0.10%  luajit   libc.so.6         [.] 0x000000000010e7af
     0.10%     0.00%  luajit   libc.so.6         [.] 0x00007fce526007af
     0.10%     0.10%  luajit   luajit            [.] gc2_grey_pop
     0.10%     0.00%  luajit   luajit            [.] gc_root_state_validate
     0.10%     0.00%  luajit   luajit            [.] lj_gc2_ssb_empty
     0.10%     0.10%  luajit   luajit            [.] lj_arena_remote_free_drain_sweep
     0.10%     0.00%  luajit   luajit            [.] gc2_markmem_registered_scoped_status_impl
     0.10%     0.10%  luajit   luajit            [.] gc2_sweep_pregrace_cap_ready.constprop.0
     0.10%     0.10%  luajit   luajit            [.] lj_arena_alloc_quarantine_one
     0.10%     0.10%  luajit   luajit            [.] lj_arena_reclaim_seal
     0.10%     0.00%  luajit   luajit            [.] gc2_queue_obj_info
     0.10%     0.00%  luajit   luajit            [.] lj_gc2_obj_valid_queued
     0.10%     0.10%  luajit   luajit            [.] lj_gc2_worker_wake_n.part.0
     0.10%     0.10%  luajit   luajit            [.] lj_gc2_sweep_prepare_bridge_boundary
     0.10%     0.00%  luajit   luajit            [.] lj_safepoint_ack.part.0
     0.10%     0.10%  luajit   luajit            [.] lj_arena_quarantine_owns_body
     0.10%     0.00%  luajit   luajit            [.] gc2_small_arena_registered.constprop.0
     0.10%     0.00%  luajit   luajit            [.] gc2_tg_for_registered_mem
     0.10%     0.00%  luajit   luajit            [.] gc2_sweep_reclaim_enter
     0.10%     0.10%  luajit   luajit            [.] gc2_sweep_live_cells
     0.10%     0.10%  luajit   luajit            [.] hugetab_fold_deferred_free
     0.10%     0.10%  luajit   luajit            [.] lj_BC_RET1
     0.10%     0.10%  luajit   luajit            [.] lj_arena_rescue_leave
     0.10%     0.10%  luajit   luajit            [.] lj_vm_exit_interp
     0.10%     0.00%  luajit   luajit            [.] gc2_clear_container_needscan_chain.isra.0
     0.10%     0.00%  luajit   luajit            [.] gc2_root_spine_admit
     0.10%     0.00%  luajit   luajit            [.] gc2_root_spine_handoff
     0.10%     0.10%  luajit   luajit            [.] gc_step_assist_top
     0.10%     0.10%  luajit   luajit            [.] lj_state_stack_pubtv
     0.10%     0.10%  luajit   luajit            [.] func_arena_set_alloc.constprop.0
     0.10%     0.10%  luajit   luajit            [.] arena_clear_extent_range
     0.10%     0.00%  luajit   luajit            [.] gc2_small_containing_admit
     0.10%     0.00%  luajit   luajit            [.] lj_gc2_mark_proto_for_pc
     0.10%     0.10%  luajit   luajit            [.] gc2_mark_thread_root_tv_status
     0.10%     0.00%  luajit   luajit            [.] gc2_scan_owner_tg_roots
     0.10%     0.00%  luajit   luajit            [.] gc2_scan_tg_thread_root
     0.10%     0.00%  luajit   luajit            [.] gc2_scan_thread_stack
     0.10%     0.00%  luajit   luajit            [.] lj_gc2_scan_cycle_owner_tg_roots
     0.10%     0.00%  luajit   luajit            [.] gc2_traverse_proto
     0.10%     0.00%  luajit   luajit            [.] gc2_weak_complete_result
     0.10%     0.10%  luajit   luajit            [.] lj_gc2_sweep_publish_wake


#
# (Tip: Use --symfs <dir> if your symbol files are in non-standard locations)
#
