# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 994  of event 'cpu_atom/cycles/u'
# Event count (approx.): 21634007141
#
# Children      Self  Command  Shared Object                 Symbol
# ........  ........  .......  ............................  ................................................
#
     0.61%     0.00%  luajit   luajit                        [.] lj_arena_hugetab_has_sweep_old
     0.51%     0.10%  luajit   luajit                        [.] gc2_mark_begin
     0.51%     0.00%  luajit   luajit                        [.] gc2_preserve_lfunc_direct_bodies
     0.51%     0.40%  luajit   luajit                        [.] arena_set_free_run
     0.50%     0.50%  luajit   luajit                        [.] hugetab_fold_deferred_free
     0.50%     0.00%  luajit   luajit                        [.] lj_gc_sweep_gc2_unmarked
     0.50%     0.00%  luajit   luajit                        [.] lj_func_freeuv
     0.43%     0.43%  luajit   luajit                        [.] arena_clear_extent_range
     0.42%     0.00%  luajit   luajit                        [.] gc2_weak_complete_result
     0.40%     0.00%  luajit   luajit                        [.] lj_gc2_sweep_pending
     0.40%     0.10%  luajit   luajit                        [.] gc2_tg_for_registered_mem
     0.40%     0.40%  luajit   luajit                        [.] lj_BC_JLOOP
     0.32%     0.00%  luajit   luajit                        [.] gc2_mark_thread_root_obj_status
     0.30%     0.30%  luajit   luajit                        [.] lj_state_stack_pubtv
     0.30%     0.30%  luajit   luajit                        [.] lj_arena_hugetab_live_bytes
     0.30%     0.00%  luajit   luajit                        [.] lj_gc2_sweep_live_aggregate.part.0
     0.30%     0.00%  luajit   luajit                        [.] gc2_traverse_proto
     0.30%     0.10%  luajit   luajit                        [.] gc2_small_arena_registered.constprop.0
     0.30%     0.30%  luajit   luajit                        [.] lj_arena_hugetab_clear_marks
     0.30%     0.30%  luajit   luajit                        [.] lj_gc2_smr_read_try
     0.30%     0.30%  luajit   luajit                        [.] gc2_sweep_alloc_end
     0.30%     0.10%  luajit   luajit                        [.] lj_gc_reclaim_gc2_arena
     0.30%     0.00%  luajit   luajit                        [.] gc2_drain_published_ssb_to_grey
     0.30%     0.00%  luajit   luajit                        [.] gc2_ssb_mark_one
     0.24%     0.00%  luajit   luajit                        [.] gc2_markobj_expected_scoped_status_mode
     0.24%     0.00%  luajit   luajit                        [.] lj_gc2_obj_lease_acquire
     0.24%     0.00%  luajit   luajit                        [.] lj_tab_storetv_forjit_array
     0.24%     0.00%  luajit   memfd:luajit-mcode (deleted)  [.] 0x00005645642cffd9
     0.20%     0.20%  luajit   luajit                        [.] lj_arena_hugetab_prepare_sweep
     0.20%     0.00%  luajit   luajit                        [.] gc2_mark_thread_root_tv_status
     0.20%     0.20%  luajit   luajit                        [.] lj_arena_dtor_construct_commit
     0.20%     0.20%  luajit   luajit                        [.] lj_gc2_worker_wake_n.part.0
     0.20%     0.10%  luajit   luajit                        [.] lj_gc2_ssb_empty
     0.20%     0.00%  luajit   luajit                        [.] lj_func_free
     0.20%     0.00%  luajit   luajit                        [.] gc2_preserve_root_spine_body.part.0
     0.20%     0.00%  luajit   luajit                        [.] lj_gc2_markmem
     0.20%     0.10%  luajit   luajit                        [.] lj_arena_scan_free_runs
     0.20%     0.20%  luajit   luajit                        [.] arena_lifetime_block_bits.part.0
     0.20%     0.20%  luajit   luajit                        [.] func_arena_set_alloc.constprop.0
     0.18%     0.01%  luajit   luajit                        [.] tab_trystoretv_cas_keyed_once_mode
     0.17%     0.00%  luajit   luajit                        [.] tab_trystoretv_cas_keyed_weak
     0.11%     0.11%  luajit   luajit                        [.] lj_arena_hugetab_next
     0.11%     0.00%  luajit   luajit                        [.] close_state
     0.11%     0.00%  luajit   luajit                        [.] gc2_recovery_discard_hugetab_terminal
     0.11%     0.00%  luajit   luajit                        [.] gc2_recovery_discard_terminal.isra.0
     0.11%     0.00%  luajit   luajit                        [.] lj_arena_hugetab_recovery_next
     0.11%     0.00%  luajit   luajit                        [.] lj_gc2_freeall
     0.11%     0.00%  luajit   luajit                        [.] lj_gc2_terminal_prefree
     0.10%     0.00%  luajit   luajit                        [.] gc2_traverse_thread
     0.10%     0.10%  luajit   luajit                        [.] gc2_grey_pop
     0.10%     0.00%  luajit   luajit                        [.] gc2_frame_func_valid
     0.10%     0.00%  luajit   luajit                        [.] gc2_frame_prev_safe
